Car_Company,Car_Model,Car_Variant,Registered_Month,Car_Resale_Price(Lakh),Car_Engine_Capacity(CC),Car_Kilometer_Driven(kms),Car_Max_Power(bhp),Car_Mileage(kmpl),Car_Model_Year,insurance,transmission_type,owner_type,fuel_type,seats,body_type,city
Maruti,Baleno,1.2,,5.45,1197.0,40.0,83.0,21.0,2017,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Tata,Hexa,XTA,,10.0,2179.0,70.0,153.0,17.0,2018,Third Party insurance,Automatic,First Owner,Diesel,7.0,MUV,Agra
Maruti,Swift,Dzire,,4.5,1197.0,70.0,83.0,20.0,2015,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Swift,Dzire,,4.5,1197.0,70.0,83.0,20.0,2015,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Hyundai,i10,Magna,,1.6,1086.0,80.0,68.0,19.0,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i20,Active,,4.7,1197.0,70.0,81.0,17.0,2015,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Tata,Tiago,1.05,,3.6,1047.0,1.0,69.0,27.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Hyundai,i10,Magna,,2.0,1086.0,60.0,68.0,19.0,2010,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Eeco,7,,3.7,1196.0,20.0,73.0,15.0,2016,Third Party insurance,Manual,First Owner,Petrol,7.0,Minivans,Agra
Hyundai,Santro,Xing,,1.2,1086.0,30.0,62.0,,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Honda,Amaze,E,,3.3,1198.0,70.0,86.0,18.0,2014,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Hyundai,Xcent,1.2,,4.75,1197.0,60.0,81.0,20.0,2018,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Ciaz,Sigma,,6.86,1462.0,50.0,103.0,21.0,2020,Third Party insurance,Manual,Third Owner,Petrol,5.0,Sedan,Agra
Hyundai,Venue,SX,,12.5,1493.0,60.0,98.0,23.0,2021,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Hyundai,Venue,SX,,11.0,1396.0,60.0,89.0,23.0,2021,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Maruti,Alto,K10,,3.95,998.0,20.0,67.0,23.0,2019,Third Party insurance,Automatic,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Wagon,R,,3.5,998.0,40.0,58.0,26.0,2016,Third Party insurance,Manual,First Owner,CNG,5.0,Hatchback,Agra
Toyota,Etios,VX,,2.89,1496.0,50.0,88.0,17.0,2011,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Toyota,Corolla,Altis,,2.82,1364.0,1.0,87.0,21.0,2011,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Kia,Sonet,HTX,,10.0,998.0,10.0,118.0,18.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Maruti,Ciaz,Alpha,,7.85,1462.0,30.0,103.0,20.0,2020,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Ford,Ecosport,1.5,,3.0,1498.0,1.0,89.0,22.0,2014,Third Party insurance,Manual,Third Owner,Diesel,5.0,SUV,Agra
Mitsubishi,Outlander,2.4,,3.97,2360.0,80.0,170.0,11.0,2011,Third Party insurance,Automatic,Second Owner,Petrol,5.0,SUV,Agra
Maruti,Swift,Dzire,,3.75,1248.0,20.0,74.0,26.0,2015,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Maruti,Alto,K10,,1.0,998.0,1.0,67.0,20.0,2011,Third Party insurance,Manual,Third Owner,Petrol,5.0,Hatchback,Agra
Mitsubishi,Outlander,2.4,,3.97,2360.0,80.0,170.0,11.0,2011,Third Party insurance,Automatic,Second Owner,Petrol,5.0,SUV,Agra
Maruti,Baleno,Zeta,,6.75,1197.0,40.0,81.0,21.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Xcent,1.2,,4.65,1197.0,60.0,81.0,20.0,2018,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Swift,Dzire,,4.8,1197.0,80.0,83.0,20.0,2015,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Alto,800,,2.25,796.0,1.0,47.0,22.0,2014,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Wagon,R,,3.2,998.0,70.0,67.0,20.0,2016,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Grand,i10,,4.15,1197.0,30.0,82.0,18.0,2015,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,VDI,,2.4,1248.0,1.0,74.0,22.0,2012,Third Party insurance,Manual,Third Owner,Diesel,5.0,Hatchback,Agra
Mahindra,XUV500,W6,,3.5,2179.0,1.0,140.0,15.0,2013,Third Party insurance,Manual,Third Owner,Diesel,7.0,SUV,Agra
Mahindra,XUV500,W6,,3.5,2179.0,1.0,140.0,15.0,2013,Third Party insurance,Manual,Third Owner,Diesel,7.0,SUV,Agra
Tata,New,Safari,,2.96,2179.0,90.0,138.0,11.0,2013,Third Party insurance,Manual,Second Owner,Diesel,7.0,SUV,Agra
Tata,New,Safari,,2.96,2179.0,90.0,138.0,11.0,2013,Third Party insurance,Manual,Second Owner,Diesel,7.0,SUV,Agra
Tata,Tiago,1.2,,3.16,1199.0,1.0,84.0,23.0,2018,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Vitara,Brezza,,7.5,1248.0,1.0,88.0,24.0,2017,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Maruti,Ertiga,VDI,,9.0,1248.0,1.0,88.0,25.0,2019,Third Party insurance,Manual,First Owner,Diesel,7.0,MUV,Agra
Maruti,Celerio,VXI,,5.6,998.0,10.0,65.0,25.0,2022,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Vitara,Brezza,,8.0,1248.0,1.0,88.0,24.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Hyundai,Creta,1.4,,9.0,1396.0,1.0,88.0,22.0,2017,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Maruti,Alto,800,,2.8,796.0,80.0,47.0,22.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Toyota,Innova,2.5,,5.5,2494.0,90.0,100.0,11.0,2013,Third Party insurance,Manual,Second Owner,Diesel,7.0,Toyota,Agra
Toyota,Innova,2.5,,2.5,2494.0,1.0,102.0,12.0,2009,Third Party insurance,Manual,First Owner,Diesel,8.0,MUV,Agra
Tata,Manza,Aqua,,1.5,1248.0,1.0,90.0,18.0,2011,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Tata,Manza,Aqua,,1.5,1248.0,1.0,90.0,18.0,2011,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Hyundai,Grand,i10,,4.8,1186.0,20.0,73.0,24.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Maruti,Eeco,CNG,,3.0,1196.0,1.0,61.0,21.0,2017,Third Party insurance,Manual,First Owner,CNG,5.0,Minivans,Agra
Maruti,Eeco,CNG,,3.0,1196.0,1.0,61.0,21.0,2017,Third Party insurance,Manual,First Owner,CNG,5.0,Minivans,Agra
Maruti,Eeco,CNG,,3.0,1196.0,1.0,61.0,21.0,2017,Third Party insurance,Manual,First Owner,CNG,5.0,Minivans,Agra
Audi,A4,2.0,,12.0,1968.0,30.0,147.0,16.0,2014,Third Party insurance,Automatic,Second Owner,Diesel,5.0,Sedan,Agra
Hyundai,i20,Sportz,,8.0,1197.0,10.0,81.0,21.0,2022,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Volkswagen,Polo,Diesel,,2.0,1199.0,80.0,73.0,22.0,2012,Third Party insurance,Manual,Fifth Owner,Diesel,5.0,Hatchback,Agra
Maruti,Vitara,Brezza,,7.4,1248.0,80.0,88.0,24.0,2019,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Hyundai,Santro,Xing,,1.5,1086.0,30.0,62.0,17.0,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,Dzire,,5.2,1248.0,30.0,74.0,26.0,2016,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Hyundai,i10,Sportz,,1.7,1197.0,80.0,78.0,20.0,2010,Third Party insurance,Manual,Third Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Venue,S,,7.1,1197.0,30.0,81.0,17.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Skoda,Rapid,1.0,,9.5,999.0,20.0,108.0,18.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Ford,Figo,Diesel,,2.4,1399.0,70.0,68.0,20.0,2013,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Skoda,Rapid,1.0,,9.3,999.0,20.0,108.0,18.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
MG,Hector,Plus,,19.22,1956.0,20.0,167.0,16.0,2022,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Hyundai,EON,D,,1.5,814.0,50.0,55.0,21.0,2013,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Grand,i10,,3.8,1197.0,30.0,82.0,18.0,2015,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Tata,Punch,Adventure,,5.9,1199.0,30.0,86.0,20.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Volkswagen,Polo,1.5,,4.0,1498.0,1.0,88.0,20.0,2016,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Toyota,Etios,Liva,,3.0,1364.0,40.0,67.0,23.0,2013,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Renault,Duster,85PS,,5.0,1461.0,1.0,83.0,19.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Maruti,Alto,800,,2.1,796.0,20.0,47.0,22.0,2015,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Wagon,R,,1.0,998.0,90.0,67.0,18.0,2009,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Mahindra,XUV500,W10,,9.0,2179.0,50.0,140.0,16.0,2015,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Kia,Seltos,HTX,,13.49,1493.0,70.0,113.0,20.0,2020,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Maruti,Swift,Dzire,,6.5,1248.0,50.0,74.0,28.0,2019,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Maruti,Wagon,R,,4.75,998.0,20.0,67.0,21.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Nissan,Terrano,XE,,3.2,1461.0,90.0,83.0,20.0,2014,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Maruti,Swift,Dzire,,6.5,1248.0,50.0,74.0,28.0,2019,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Hyundai,Grand,i10,,3.7,1197.0,60.0,82.0,18.0,2015,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Wagon,R,,1.1,1061.0,90.0,67.0,18.0,2009,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Chevrolet,Spark,1.0,,,995.0,60.0,63.0,16.0,2009,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Ford,Figo,Titanium,,5.5,1499.0,60.0,98.0,24.0,2020,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Honda,Jazz,1.5,,3.9,1498.0,90.0,98.0,27.0,2015,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Hyundai,i10,Magna,,2.5,1086.0,20.0,68.0,19.0,2017,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Alto,800,,2.0,796.0,80.0,47.0,22.0,2013,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,Dzire,,7.25,1197.0,10.0,88.0,22.0,2022,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Honda,Jazz,1.5,,4.5,1498.0,1.0,98.0,27.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Honda,City,i-DTEC,,7.5,1498.0,1.0,97.0,25.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Toyota,Etios,Liva,,2.15,1364.0,70.0,,23.0,2011,Third Party insurance,Manual,Third Owner,Diesel,5.0,Hatchback,Agra
Maruti,Alto,800,,2.06,796.0,80.0,47.0,22.0,2013,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Mahindra,XUV500,W8,,5.5,2179.0,1.0,140.0,16.0,2015,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Maruti,Wagon,R,,2.5,998.0,1.0,58.0,26.0,2012,Third Party insurance,Manual,First Owner,CNG,5.0,Hatchback,Agra
Maruti,Alto,800,,2.1,796.0,80.0,47.0,22.0,2013,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
